RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
102001,0,United States,country,,32,31,32,33,34,34,34,33,33,33,33,33,32,31,32,34,34,34,34,34,34,34,35,34,34,34,35,35,35,35,36,36,37,37,37,35,34,34,35,35,35,35,34,34,34,34,35,34,33,31,31,31,32,32,31,31,31,31,32,31,31,30,31,31,31,31,31,31
394913,1,"New York, NY",msa,NY,55,51,48,50,53,54,54,53,52,51,52,54,53,51,49,50,52,53,52,52,52,53,54,55,54,51,52,53,52,50,51,54,57,58,57,52,51,53,58,61,62,64,64,64,63,60,59,60,60,58,55,56,57,57,54,51,50,50,52,53,52,50,50,51,53,53,53,52
753899,2,"Los Angeles, CA",msa,CA,31,30,30,31,31,31,31,31,31,31,32,31,31,30,31,31,32,32,32,32,32,32,33,32,31,31,32,32,31,31,32,33,34,34,34,33,32,31,31,31,30,30,30,30,30,30,31,30,29,28,28,29,29,29,28,28,28,29,29,29,28,28,28,28,28,28,28,28
394463,3,"Chicago, IL",msa,IL,40,39,40,42,42,41,40,39,39,39,39,39,39,38,39,41,41,41,40,40,39,39,40,40,40,40,42,42,42,41,42,43,43,42,43,39,39,38,41,42,42,41,41,40,39,39,39,39,38,37,37,37,37,37,36,35,35,35,36,35,34,34,35,36,36,36,35,34
394514,4,"Dallas, TX",msa,TX,20,20,20,21,21,21,21,21,21,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,22,22,,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,23,25,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28
394692,5,"Houston, TX",msa,TX,30,30,31,32,32,32,31,31,31,31,31,30,30,30,31,32,32,31,31,31,31,31,31,30,30,31,32,33,33,34,35,35,36,35,35,34,34,34,33,33,32,32,32,32,31,31,31,31,30,30,29,30,29,29,29,28,28,28,28,28,28,28,29,29,,,29,28
395209,6,"Washington, DC",msa,VA,22,20,22,26,30,32,33,33,32,32,32,32,32,31,32,33,34,34,33,33,33,33,34,34,33,32,33,34,34,34,33,31,31,31,33,32,31,30,30,30,30,30,30,30,30,30,31,30,29,28,28,29,29,30,30,30,30,29,30,29,29,29,28,29,28,28,28,28
394974,7,"Philadelphia, PA",msa,PA,33,33,35,36,35,37,38,40,39,38,38,37,38,37,39,41,42,42,41,40,40,39,41,40,40,40,44,44,43,41,42,40,40,39,42,42,42,41,41,42,42,43,42,41,40,39,40,39,38,37,37,38,39,39,38,37,36,36,36,35,35,34,35,36,36,36,35,35
394856,8,"Miami, FL",msa,FL,33,33,34,36,36,36,35,35,34,33,34,33,33,32,34,35,36,35,35,35,35,34,35,34,34,34,36,36,35,36,37,38,38,38,32,29,27,,36,38,38,38,37,36,35,35,36,36,35,34,35,35,35,34,33,33,33,33,33,32,32,32,33,34,35,34,34,33
394347,9,"Atlanta, GA",msa,GA,30,30,31,31,31,31,31,30,30,30,30,29,29,29,30,31,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,27,26,26,27,27,26,26,26,27,26,26,26,26,26,26,26,25,24,24,24
394404,10,"Boston, MA",msa,MA,45,43,43,45,46,47,46,45,44,43,44,44,44,43,44,45,46,46,45,44,44,43,45,45,45,44,46,46,46,45,45,45,45,45,47,47,46,44,44,45,45,46,45,44,43,43,44,44,43,41,41,40,41,41,43,42,41,40,42,41,40,38,39,40,41,41,41,39
394976,11,"Phoenix, AZ",msa,AZ,27,26,27,28,28,28,28,28,23,23,23,27,27,27,27,28,29,29,29,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,28,28,27,27,27,27,27,27,27,27,27,27,27,26,26,25,26,26,26,26,26,26,24,25,24,25,25,26,26,26,26,25,25
395057,12,"San Francisco, CA",msa,CA,26,24,24,25,26,26,25,25,25,25,27,26,26,24,25,25,25,26,27,27,27,27,28,28,27,27,28,28,28,28,28,28,28,29,29,29,28,28,28,28,28,28,28,27,27,27,28,27,26,24,25,25,25,25,25,25,25,25,26,25,25,23,23,23,23,23,23,22
395025,13,"Riverside, CA",msa,CA,32,31,32,33,33,32,31,31,31,31,31,31,31,30,31,32,32,33,33,34,34,34,34,33,33,33,33,33,33,34,36,37,36,36,36,35,34,33,33,32,32,32,31,31,31,32,33,32,31,29,29,29,29,29,29,29,29,28,29,29,29,29,29,29,29,29,29,29
394532,14,"Detroit, MI",msa,MI,34,33,33,34,35,36,35,35,34,33,34,33,33,32,33,33,33,33,34,34,34,33,33,32,32,32,35,36,36,35,37,38,38,37,34,32,31,33,33,33,33,33,33,33,32,32,32,32,31,29,29,29,29,29,29,28,28,28,28,27,27,27,27,27,28,28,28,27
