RegionID,SizeRank,RegionName,RegionType,StateName,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
102001,0,United States,country,,204015,236628,262604,288515,302857,306315,288316,271858,262779,193297,221094,165385,178527,229240,243075,264463,313474,321214,293103,289227,304472,283174,267229,184142,194052,290157,309113,319615,352245,257181,258939,270643,235886,225313,254845,194057,195382,268413,270077,286590,320732,286695,310834,277612,256263,245831,267139,213282,229039,291210,297785,343017,359331,335473,362415,295263,326433,302747,304965,250397,249343,318929,356668,409292,402671,423735,419707,356998,357585,307302,318572,248658,244816,304719,345459,388943,414268,417239,397370,367230,381093,294486,342089,339496,259687,351109,382272,413155,480362,477312,433529,413490,391659,307239,370324,271432,286280,374657,400690,447380,503417,444415,473395,426517,392754,369880,381122,297511,290547,412507,398792,486000,532296,457555,492063,417430,411463,373606,365084,290091,288134,392658,414637,479175,508730,472992,492913,387099,413947,364603,332012,268851,286311,367626,415064,483317,466458,481397,474835,404760,419246,355803,372805,300046,300684,375587,324984,318650,444093,529999,510994,516449,527534,449503,483514,361076,357639,487116,514343,519325,607777,568113,557545,520875,496778,475850,477372,358378,347028,457558,454429,478591,497436,424155,440814,389741,339377,291755,278318,215304,236308,323791,299488,360015,381050,327190,354873,304671,306412
394913,1,"New York, NY",msa,NY,8588,8940,9951,10182,10834,13742,12490,11098,10544,8191,8803,6456,5709,6630,6958,8016,9485,11211,11678,11313,11399,13906,11728,8910,7108,19093,9653,9937,14186,12851,10335,,8737,8618,8795,8006,7655,8904,8867,9171,11130,10965,11395,10034,8954,8236,8985,9243,7532,9054,9177,10960,12721,12772,13815,11208,10569,10142,11604,10479,8902,10147,11267,13824,14369,17012,17434,15304,15151,12431,13856,11363,9055,10586,11012,12873,14587,16336,16042,14531,15063,11950,14354,11704,10392,11934,12234,13324,17403,19023,18400,17018,16544,13830,16121,12797,12576,14442,13895,14949,19273,18218,20833,18619,16399,16136,17551,15630,13350,16084,15083,18062,21306,19468,22617,18879,18490,16818,17274,15242,13138,14822,15695,17731,20491,20517,22108,16503,18697,16448,15952,14380,11982,14227,15089,17442,18497,20214,20335,17240,17822,15278,16844,15524,13081,13589,10710,11216,13733,16938,19261,20396,23101,20367,23654,20335,17393,21756,19950,19568,24687,24142,24963,22212,22776,20664,21673,19340,15895,19209,17106,18574,21844,20158,20879,17269,15135,13525,12723,10300,8913,11130,10284,12274,14538,13052,14966,12261,12847
753899,2,"Los Angeles, CA",msa,CA,4107,5001,6022,6838,7176,8169,7787,7771,8539,6506,7718,5939,6081,7804,8117,8543,9861,10195,9007,9094,9530,8185,9516,6533,6679,9195,9064,9955,10555,8753,8379,8332,7648,7360,8797,6661,6387,8933,8565,8438,9438,8426,9191,8557,7759,7867,8719,6983,7475,9927,9547,10749,11010,10280,11364,9181,10476,9653,10973,7719,7729,10096,10510,11715,10782,11708,11470,9410,9942,8462,8896,6875,6681,8545,9664,9855,9924,10152,9592,8886,9335,7424,8725,6514,6628,9525,10428,10429,11587,11632,10301,10076,9524,7311,9777,7111,7007,9473,9928,10542,11386,10321,11090,10199,9461,9116,9551,7384,7018,10289,9204,11176,12338,10154,11599,9961,9539,8807,8767,6980,6898,9952,9499,10464,10732,10140,10622,8042,8803,7708,7252,5796,6162,8221,9327,10341,9734,10045,10202,8907,9466,8229,8789,7035,7126,8466,6114,5031,7513,10359,10331,10979,11072,9761,11194,8351,8100,11704,12415,11438,12695,11850,11518,11102,10730,10122,10377,7462,7279,10453,10017,9497,9281,7591,7921,7327,6334,5457,5241,4253,4638,6727,6030,7179,7312,6212,6962,5701,5799
394463,3,"Chicago, IL",msa,IL,5922,7450,7709,8378,9305,9392,8638,8017,7026,4885,5195,3892,3848,5053,5563,6489,8392,9365,9007,8701,9328,8598,7599,5189,5136,7364,8708,9254,11162,7176,7079,6418,5875,5581,6207,5136,4592,6511,6722,7964,9258,8021,8891,7528,7116,6823,7679,5891,5819,7771,8215,9844,10940,10280,11465,9222,10233,9211,8964,8516,7466,9593,11371,13335,13835,15158,14843,12178,12989,10671,11229,8669,8062,9822,11875,13408,15120,15062,13785,13338,13421,9854,11225,8147,8078,11124,12714,14351,17901,17446,15860,14766,13736,10081,11625,9006,8912,11596,13671,15461,18558,16201,16979,13883,12717,11446,11653,9233,8123,12886,13221,16148,18623,15252,16093,13095,12075,10696,10392,7929,7440,11963,14294,16958,19103,16271,16259,12761,13362,11431,9885,7562,7937,11158,13630,16156,16302,15993,15395,12275,12408,10220,11110,8218,8102,11094,10803,9553,12494,16337,16322,16264,18046,14988,14838,12098,11741,15619,17445,17663,21257,20280,19481,16753,14895,13846,12829,9961,8784,12832,13130,14105,15302,12822,12435,11217,9333,8336,7420,5538,5739,8920,8629,10614,11248,9657,10528,8985,8626
394514,4,"Dallas, TX",msa,TX,5055,5726,6223,6902,6906,6806,6473,5687,4828,3618,4168,3124,3749,4711,4805,5382,6088,6365,5607,5253,5497,4923,4448,2975,3626,5396,6350,6543,6064,4539,4669,4175,3977,3778,4091,2943,3180,4764,4990,5478,5970,5337,5865,4794,4251,4189,4435,3396,4050,5351,5680,6815,7004,6682,7138,5373,5685,5082,5153,4269,4794,6824,7513,8519,8230,8708,8567,6844,6429,5389,5749,4268,5018,6458,7126,8242,8765,8700,8292,7170,7129,5405,6474,4357,5159,7066,7280,8464,9619,9554,9066,7951,7355,5911,7368,5127,6051,7868,8132,8847,9660,8954,9593,8387,7491,7094,7375,5341,6000,8307,8124,9844,10299,9264,9700,8049,7634,7299,7294,5560,6363,8083,8368,9870,9865,9628,9535,7449,7317,6506,6576,4739,6076,7795,8581,9761,8792,9608,9191,7510,7549,6318,7322,5483,6349,7716,6551,6627,9740,11561,10186,9666,9495,8049,8686,5865,6038,8307,9365,9689,10853,10528,10549,9785,9089,8661,8564,6265,6476,8399,8550,9313,9413,8443,8724,7486,6329,5251,5084,3843,5278,6817,6474,7914,7784,6876,7029,5642,5660
395209,6,"Washington, DC",msa,VA,4055,4901,5641,6075,7043,6588,6290,6331,5994,4682,5545,3901,4335,5675,6094,6545,7819,7297,6663,6376,6470,6188,5760,4631,4293,6443,6993,7446,8663,5868,7153,5642,5274,5196,5515,4252,4299,6280,6128,6704,7809,6437,6375,5461,4989,4946,5301,4180,4569,5593,6089,7446,7741,6784,7032,5512,5900,6369,5653,4788,4714,6073,7076,8499,9010,8384,8018,6491,6691,5472,6225,4401,4620,5588,6629,7640,8567,7906,7397,6421,6752,5328,6573,,,6457,7525,8271,10049,9336,8154,7478,7191,5986,7562,5145,5486,7129,8243,9742,10928,9244,9388,7851,7627,7387,7488,6124,6104,8503,8793,10479,11537,9435,9305,7852,8015,7239,6896,5593,5547,7459,8458,10021,10629,9370,8919,6729,7554,7076,6627,5506,5489,7531,8885,10500,10052,9629,8968,7553,8108,6762,7322,5780,5915,7847,7511,7147,9344,10451,10264,10457,10670,9249,9570,6985,7676,10067,11718,12000,13822,12156,11625,10429,10384,10164,9462,6545,6799,9447,9865,10485,10374,8379,8212,7194,6336,5371,5109,3846,4649,6199,6180,7585,7801,6244,6504,5376,5212
394974,7,"Philadelphia, PA",msa,PA,4172,4959,5730,5783,6459,7032,6218,6588,5741,4063,4598,3341,3185,4044,4413,4907,6193,6412,6121,5586,6011,6382,4809,3466,3211,5034,5710,6365,7827,4955,4630,4248,4018,3895,4538,3376,3070,4228,4543,4941,5778,4978,5379,4414,4437,4172,4524,3790,3656,4719,4877,5705,6367,5973,6343,4967,5249,5581,5149,4562,4042,5070,5935,6969,7497,7517,7215,6031,6093,5178,5703,4318,3649,4619,5410,6480,7568,7324,7040,6133,6388,5385,6438,,,5673,6481,7248,9198,9425,8328,7527,7280,5882,7254,5343,5281,6445,7236,8434,10520,8616,9131,7770,7432,7353,7520,6284,5538,7712,7770,9385,10935,9673,9840,8211,8131,7730,7442,6054,4952,6988,7800,9109,10882,9872,9729,7701,8324,7790,7245,5805,5400,7197,8066,9602,9799,9353,9191,7915,7695,6796,7305,6176,5442,7119,5872,5118,6702,9756,9916,9938,10649,9154,9776,7467,6881,8972,9564,9561,12409,11345,12031,11348,10343,9943,12761,9884,7696,9464,9227,9313,10577,8985,9432,7924,7013,6333,6002,4683,4544,6256,5943,6810,7781,6579,7154,6149,6055
394856,8,"Miami, FL",msa,FL,3995,4684,5184,5224,5470,5132,4749,4651,4973,3951,5398,4327,4689,5957,6207,6315,7164,7048,6491,6820,7349,6653,7609,6158,6031,8777,8551,8023,9171,7895,7548,7441,6929,6827,8796,7667,7655,10180,9955,9597,9858,8771,9301,8596,7596,7709,8821,7263,7683,9708,9875,10377,9893,9294,9936,8203,9545,9141,10236,8682,8498,10499,11647,12048,11167,11487,10844,9917,10330,8995,10190,8533,8275,10497,11429,11222,11028,11046,10142,10234,10945,8836,11132,8277,8730,11283,11828,11426,12267,12322,10681,10671,10372,8561,10834,8016,8646,11087,11015,11232,12109,10225,10974,10020,8992,8978,10018,8026,8283,11578,10536,11952,11978,10238,10954,7337,8939,8381,9463,8007,8001,10753,10821,10994,11174,10078,10399,8309,9159,8311,8129,6866,7308,9783,11005,11822,10309,11119,10204,9172,9452,8275,10018,8300,7985,10417,7355,5763,8393,11018,11114,11000,12056,10593,13091,10224,10952,15762,16676,15622,17240,15480,14269,13023,12777,12351,13695,11124,11308,15320,14659,13706,12965,10300,10199,8553,8073,7164,7318,5762,6569,9913,8692,9961,9350,7920,8583,7592,7843
394347,9,"Atlanta, GA",msa,GA,5639,6157,6306,6616,6842,6843,6185,6206,5737,4146,5219,4154,4404,5628,5599,5625,6912,6916,6112,5898,6224,6048,5882,4039,4639,6345,6630,6699,7248,5547,5488,6531,6940,6286,5623,3886,4310,6047,5937,6382,7115,6715,7721,7161,6745,6099,6778,6363,6563,7995,7546,8633,9748,8518,9173,7606,8340,7811,7166,6871,6553,8160,8839,9675,9432,9515,9205,7866,8071,7081,7080,6155,6447,7819,8283,9357,9688,9385,9118,8274,8376,6852,7819,6012,6305,8728,10651,9830,10752,10583,9918,9051,8268,6733,8576,6338,7255,9821,10177,11203,12154,10779,11264,10114,9175,8575,9201,6641,7347,11095,9901,12770,13175,11084,11838,9858,9625,9342,9210,6974,7996,10777,11100,12736,12989,11982,13145,9833,10545,9394,8701,6922,8078,10839,11388,12869,12059,12526,11810,10074,10426,9000,9730,7638,8679,10495,8184,7967,11701,12719,12275,12229,12802,10408,11977,8629,9596,13315,13798,13856,16861,15302,14251,12331,11286,12642,12664,9369,10546,13396,12612,13019,12959,10754,10764,9349,8021,6500,6671,4923,6044,8617,7651,8738,8771,7069,7587,6096,6195
394404,10,"Boston, MA",msa,MA,1989,2323,2833,3431,4444,4097,3937,3163,3148,2229,2473,1674,1602,2232,2405,2985,4127,4509,4302,3393,3628,3695,3099,1989,1912,2911,3635,3983,5349,3243,3525,2875,2616,2641,3156,2150,1838,2798,3064,3703,4991,4130,4538,3463,3077,3170,3358,2302,2252,3185,3577,4499,5774,5281,5813,3655,4115,4397,4247,2940,2416,3323,4136,5569,6546,6963,6578,4936,4663,4148,4345,2899,2257,3134,3890,5121,6611,6592,6131,4820,4852,3862,4504,2932,2367,3134,3593,4926,7577,7913,6904,5673,5230,4287,5130,3568,2816,3791,4396,5645,7805,6252,7266,5772,5119,4945,4980,3812,2757,4211,4148,5934,8005,6666,7124,5438,5313,5192,4620,3520,2580,3759,4347,5695,7825,6913,7284,4967,5110,5248,4177,3216,2865,3885,4541,6060,6932,6959,6852,5122,5360,4856,5069,3549,2785,3844,3915,3886,5262,7030,7256,6647,6696,5723,6303,4027,3165,4702,5515,6252,8264,7404,7221,6354,5288,5885,5762,3677,2800,4073,4491,5649,7365,5933,6087,4999,4100,3937,3861,2439,2135,3140,3146,4136,5493,4284,4381,3582,3777
