Category: All categories,
,
Month,realtor.com: (United States)
2004-01,49
2004-02,49
2004-03,56
2004-04,53
2004-05,53
2004-06,59
2004-07,66
2004-08,60
2004-09,52
2004-10,50
2004-11,48
2004-12,43
2005-01,57
2005-02,60
2005-03,63
2005-04,71
2005-05,68
2005-06,66
2005-07,66
2005-08,65
2005-09,61
2005-10,58
2005-11,51
2005-12,46
2006-01,60
2006-02,58
2006-03,64
2006-04,69
2006-05,68
2006-06,74
2006-07,77
2006-08,72
2006-09,58
2006-10,54
2006-11,44
2006-12,45
2007-01,59
2007-02,58
2007-03,63
2007-04,62
2007-05,59
2007-06,63
2007-07,65
2007-08,59
2007-09,52
2007-10,48
2007-11,42
2007-12,38
2008-01,55
2008-02,56
2008-03,62
2008-04,59
2008-05,60
2008-06,59
2008-07,60
2008-08,59
2008-09,59
2008-10,54
2008-11,53
2008-12,51
2009-01,71
2009-02,71
2009-03,78
2009-04,84
2009-05,100
2009-06,96
2009-07,97
2009-08,89
2009-09,83
2009-10,75
2009-11,69
2009-12,62
2010-01,80
2010-02,80
2010-03,83
2010-04,79
2010-05,76
2010-06,79
2010-07,78
2010-08,48
2010-09,42
2010-10,41
2010-11,37
2010-12,34
2011-01,54
2011-02,48
2011-03,48
2011-04,46
2011-05,45
2011-06,48
2011-07,49
2011-08,49
2011-09,42
2011-10,37
2011-11,36
2011-12,31
2012-01,43
2012-02,46
2012-03,47
2012-04,49
2012-05,46
2012-06,42
2012-07,43
2012-08,41
2012-09,36
2012-10,34
2012-11,29
2012-12,27
2013-01,37
2013-02,36
2013-03,41
2013-04,44
2013-05,41
2013-06,41
2013-07,44
2013-08,41
2013-09,34
2013-10,30
2013-11,26
2013-12,24
2014-01,30
2014-02,31
2014-03,34
2014-04,35
2014-05,39
2014-06,46
2014-07,41
2014-08,36
2014-09,33
2014-10,30
2014-11,26
2014-12,23
2015-01,30
2015-02,32
2015-03,38
2015-04,41
2015-05,41
2015-06,43
2015-07,44
2015-08,42
2015-09,34
2015-10,32
2015-11,28
2015-12,26
2016-01,28
2016-02,28
2016-03,31
2016-04,34
2016-05,37
2016-06,38
2016-07,42
2016-08,35
2016-09,31
2016-10,29
2016-11,25
2016-12,25
2017-01,35
2017-02,37
2017-03,41
2017-04,44
2017-05,44
2017-06,46
2017-07,49
2017-08,53
2017-09,47
2017-10,45
2017-11,40
2017-12,39
2018-01,50
2018-02,52
2018-03,59
2018-04,59
2018-05,57
2018-06,44
2018-07,45
2018-08,43
2018-09,37
2018-10,36
2018-11,31
2018-12,29
2019-01,36
2019-02,37
2019-03,42
2019-04,41
2019-05,40
2019-06,42
2019-07,39
2019-08,39
2019-09,34
2019-10,31
2019-11,28
2019-12,24
2020-01,32
2020-02,35
2020-03,29
2020-04,29
2020-05,36
2020-06,42
2020-07,47
2020-08,45
2020-09,42
2020-10,42
2020-11,34
2020-12,34
2021-01,39
2021-02,49
2021-03,54
2021-04,57
2021-05,62
2021-06,58
2021-07,58
2021-08,57
2021-09,55
2021-10,49
2021-11,46
2021-12,43
2022-01,49
2022-02,51
2022-03,51
2022-04,52
2022-05,47
2022-06,49
2022-07,50
2022-08,52
2022-09,45
2022-10,40
2022-11,35
2022-12,33
2023-01,40
2023-02,42
2023-03,45
2023-04,49
2023-05,47
2023-06,51
2023-07,51
2023-08,49
2023-09,41
2023-10,41
2023-11,36
2023-12,31
