RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
102001,0,United States,country,,35,34,34,35,36,36,36,36,36,35,36,35,35,34,35,36,37,37,37,36,36,36,37,37,36,36,37,38,38,38,38,39,39,39,39,38,37,37,37,38,38,38,38,37,37,37,38,37,36,35,34,35,35,35,35,35,35,34,35,34,34,33,33,34,34,34,34,34
394913,1,"New York, NY",msa,NY,58,53,51,52,54,56,56,56,55,54,54,56,56,53,51,52,54,55,55,55,55,55,57,57,56,54,54,56,56,54,53,55,58,60,58,54,53,56,60,62,64,65,65,65,64,61,61,61,63,61,59,59,60,59,56,54,53,54,55,56,55,53,53,54,55,56,56,56
753899,2,"Los Angeles, CA",msa,CA,34,32,33,33,34,33,33,33,34,34,34,34,34,33,33,34,34,35,35,35,34,35,36,35,34,34,35,35,34,34,34,35,36,37,37,36,35,34,34,34,33,33,33,33,33,33,34,33,32,30,30,30,30,30,30,30,30,30,31,31,30,29,30,30,30,30,29,29
394463,3,"Chicago, IL",msa,IL,42,41,41,43,44,44,43,41,41,41,42,42,42,41,41,42,43,43,42,42,42,41,42,42,42,42,44,45,44,43,44,44,45,45,45,42,41,41,43,44,44,44,43,42,41,41,42,41,41,39,39,40,40,40,39,38,38,37,38,37,37,37,37,38,39,39,38,37
394514,4,"Dallas, TX",msa,TX,21,21,21,22,22,22,22,22,22,22,22,21,21,21,22,22,22,22,22,22,22,22,23,22,22,23,24,,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,24,24,23,24,26,27,28,28,28,28,29,28,29,29,29,28,28,29,29,29,28,28
394692,5,"Houston, TX",msa,TX,31,31,32,33,33,33,32,32,32,32,32,32,31,31,32,33,33,33,33,33,33,32,32,32,32,33,34,35,35,35,36,36,37,36,36,36,36,35,35,34,34,34,33,33,33,33,33,32,32,31,31,31,31,30,30,29,30,29,30,29,29,29,30,30,,,29,29
395209,6,"Washington, DC",msa,VA,29,24,24,27,30,34,36,36,35,35,36,36,36,34,35,36,37,37,36,36,36,36,37,37,37,36,37,37,37,37,36,33,33,33,35,35,34,32,32,32,33,33,33,32,32,32,33,32,31,29,29,30,31,31,31,31,31,31,31,31,31,30,30,30,30,30,29,29
394974,7,"Philadelphia, PA",msa,PA,37,36,37,38,37,38,40,42,42,40,40,40,40,40,41,43,45,45,44,43,42,42,43,43,43,43,46,48,47,45,44,42,41,41,45,45,44,43,43,44,45,45,45,44,43,42,43,43,42,40,40,41,42,42,41,40,39,38,39,38,38,37,38,39,40,40,39,38
394856,8,"Miami, FL",msa,FL,37,36,37,38,39,38,38,37,37,36,36,36,35,35,36,37,38,38,38,38,37,37,37,37,37,37,39,40,39,38,39,40,40,40,36,33,32,36,39,41,41,41,40,39,39,38,39,39,39,38,38,39,39,38,36,36,36,35,36,35,35,35,36,37,38,38,37,36
394347,9,"Atlanta, GA",msa,GA,33,32,32,33,33,33,32,32,32,31,32,31,31,31,32,33,33,33,32,32,32,32,33,32,31,31,32,32,32,32,32,32,32,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,29,28,28,28,28,28,28,28,28,28,28,28,28,27,27,27,26,26,25,25
394404,10,"Boston, MA",msa,MA,48,46,46,47,49,49,49,48,47,46,47,47,47,46,46,47,48,49,49,47,46,46,48,49,48,47,48,49,49,48,47,47,47,48,49,50,49,48,47,48,49,49,48,48,46,46,48,48,47,45,44,42,42,43,46,45,44,43,44,44,44,42,42,43,44,45,44,43
394976,11,"Phoenix, AZ",msa,AZ,29,28,28,28,28,28,29,29,25,24,24,26,27,27,27,28,28,28,28,28,28,27,28,28,28,28,29,29,29,29,29,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,25,25,25,25,25,26,26,26,26,26,25
395057,12,"San Francisco, CA",msa,CA,28,25,25,26,27,27,27,26,26,27,29,28,28,26,27,27,27,27,28,28,28,28,31,30,29,28,29,30,29,29,29,30,29,30,30,30,29,28,28,28,28,28,28,28,28,28,28,28,27,25,25,26,26,26,26,26,26,26,27,27,26,25,24,24,24,25,25,24
395025,13,"Riverside, CA",msa,CA,35,33,34,35,35,35,34,34,34,34,34,34,33,33,33,34,35,36,36,36,36,36,37,36,36,35,36,37,37,37,38,39,39,39,39,39,37,36,35,35,35,35,35,35,34,35,35,35,34,32,31,31,31,31,31,30,31,30,31,31,31,31,31,31,32,31,31,31
394532,14,"Detroit, MI",msa,MI,35,34,34,35,36,37,36,36,35,35,36,36,36,35,35,34,35,35,35,35,35,35,35,34,34,34,37,38,38,38,39,39,39,39,36,34,32,34,35,35,34,34,34,34,34,34,34,34,33,31,30,30,30,30,30,30,30,29,30,29,29,28,28,29,29,29,29,29
395078,15,"Seattle, WA",msa,WA,31,29,28,29,30,31,31,31,31,31,32,32,32,30,30,30,31,32,33,33,34,34,35,34,33,32,32,33,33,33,33,33,33,33,33,33,31,30,29,30,30,30,30,30,30,30,32,30,29,27,27,28,28,29,29,29,30,30,31,30,30,28,28,28,29,29,29,28
394865,16,"Minneapolis, MN",msa,MN,31,31,32,33,33,32,31,30,29,29,30,29,29,30,31,32,32,31,31,30,29,29,30,30,31,31,32,33,33,32,32,33,33,33,32,32,31,32,33,35,35,36,34,33,32,31,32,32,31,31,31,33,33,32,31,30,29,28,29,29,29,29,29,30,31,31,30,29
395056,17,"San Diego, CA",msa,CA,33,32,32,32,30,28,28,32,35,34,34,32,32,31,31,32,33,33,33,34,35,35,36,35,33,28,27,27,31,32,33,33,33,33,33,32,32,30,30,29,29,29,29,29,29,29,30,29,28,26,26,26,27,27,27,27,27,27,28,27,27,27,27,27,26,26,26,26
395148,18,"Tampa, FL",msa,FL,35,36,37,39,39,39,38,37,37,37,37,36,36,36,37,38,39,38,37,33,31,31,35,35,35,36,37,38,38,38,38,38,38,38,37,36,36,36,36,36,36,36,35,35,34,34,35,35,34,33,33,33,33,33,33,34,34,34,33,32,33,33,34,35,35,35,34,34
394530,19,"Denver, CO",msa,CO,32,31,31,32,32,32,32,32,32,32,33,32,32,31,32,32,32,32,33,33,33,33,34,34,33,32,33,33,33,33,33,33,33,33,33,31,30,29,29,29,29,29,29,29,30,30,30,29,28,26,26,26,27,28,29,29,29,29,30,29,29,28,28,28,28,28,28,28
394358,20,"Baltimore, MD",msa,MD,35,33,31,33,35,38,39,39,39,38,39,38,38,37,38,39,40,40,40,40,40,40,41,41,41,40,40,41,41,41,40,37,36,37,41,41,40,38,37,37,37,37,37,37,37,36,37,37,35,34,33,33,33,33,33,33,33,33,34,34,33,32,32,32,32,32,32,31
395121,21,"St. Louis, MO",msa,MO,35,34,34,34,35,34,34,34,34,33,34,34,35,35,37,38,38,38,37,37,37,37,37,37,36,37,38,39,39,38,39,39,39,38,39,38,37,36,37,38,38,38,37,37,36,36,36,36,35,34,34,34,35,35,34,34,34,33,34,33,33,32,33,34,34,33,33,32
394943,22,"Orlando, FL",msa,FL,37,37,39,40,40,39,39,39,39,38,38,37,37,36,37,38,39,39,38,32,31,31,36,36,36,37,38,39,39,39,39,39,39,39,38,37,37,36,37,37,37,36,36,36,36,35,36,35,34,33,33,34,34,34,33,34,34,34,34,33,33,33,34,35,35,34,34,33
394458,23,"Charlotte, NC",msa,NC,37,35,35,37,38,37,37,37,37,37,37,38,37,36,36,37,38,38,38,38,38,38,39,39,38,38,39,40,40,39,40,39,39,39,39,36,35,35,36,37,36,36,36,36,36,36,36,36,35,34,33,34,35,35,35,34,34,35,36,37,36,35,33,34,34,34,34,33
395055,24,"San Antonio, TX",msa,TX,23,22,22,23,24,23,23,24,24,24,24,24,24,23,24,24,23,23,22,23,24,24,24,23,23,23,25,26,26,26,26,27,27,27,27,28,31,32,33,33,34,34,34,34,33,33,34,33,32,31,31,31,31,30,30,29,29,29,29,29,29,29,30,30,31,30,30,29
394998,25,"Portland, OR",msa,OR,35,33,33,33,34,34,34,33,33,33,34,34,34,33,33,33,34,34,35,35,35,35,36,36,35,35,35,36,35,35,36,37,37,37,37,36,35,33,33,32,32,33,33,33,33,33,34,33,31,30,29,30,30,30,30,30,30,30,31,31,30,29,29,29,30,30,30,30
395045,26,"Sacramento, CA",msa,CA,31,30,30,30,30,30,30,30,30,30,31,30,30,29,30,30,31,31,32,32,32,33,33,32,32,31,32,32,32,32,33,33,33,33,34,33,31,30,29,29,29,29,29,29,29,30,31,30,28,26,25,26,26,26,26,27,27,27,28,28,28,27,27,27,27,26,26,26
394982,27,"Pittsburgh, PA",msa,PA,41,40,41,40,41,41,41,40,40,40,40,40,40,39,39,41,41,42,42,43,43,43,44,44,44,44,48,,48,45,44,44,45,46,47,46,45,44,44,45,45,45,44,44,43,43,44,43,43,41,41,42,42,42,41,41,40,40,40,40,40,39,39,41,41,41,40,40
